Marca;Precio Biodiesel;Precio Bioetanol;Precio Gas Natural Comprimido;Precio Gas Natural Licuado;Precio Gases licuados del petróleo;Precio Gasoleo A;Precio Gasoleo B;Precio Gasoleo Premium;Precio Gasolina 95 E10;Precio Gasolina 95 E5;Precio Gasolina 95 E5 Premium;Precio Gasolina 98 E10;Precio Gasolina 98 E5;SUMA
CEREALES TERUEL;0.0;0.0;0.0;0.0;0.0;0.0;1.4342272727272727;0.0;0.0;0.0;0.0;0.0;0.0;1.4342272727272727
IDS;0.0;0.0;0.0;0.0;0.0;1.9266666666666667;1.5769090909090908;0.0;0.0;0.0;0.0;0.0;0.0;3.5035757575757573
PETROPRIX;0.0;0.0;0.0;0.0;0.0;1.7838823529411763;0.0;0.0;0.0;1.7940392156862743;0.0;0.0;0.0;3.577921568627451
PLENOIL;0.0;0.0;0.0;0.0;0.0;1.793680412371134;0.0;0.0;0.0;1.787123711340206;0.0;0.0;0.0;3.5808041237113404
GASEXPRESS;0.0;0.0;0.0;0.0;0.0;1.8188857142857142;0.0;0.0;0.0;1.8324285714285715;0.0;0.0;0.0;3.6513142857142857
ESCLATOIL;0.0;0.0;0.0;0.0;0.0;1.8363076923076922;0.0;1.882888888888889;0.0;1.8366923076923076;0.0;0.0;0.0;5.555888888888889
BALLENOIL;0.0;0.0;0.0;0.0;0.859;1.8220705128205128;0.0;1.8236;0.0;1.8358;0.0;0.0;0.0;6.340470512820513
BONAREA;0.0;0.0;0.0;0.0;0.0;1.7605333333333333;1.333;0.0;0.0;1.7605892857142857;0.0;0.0;1.895;6.749122619047618
DISA;0.0;0.0;0.0;0.0;0.801;1.58852;0.0;1.6765454545454546;0.0;1.5985999999999998;0.0;0.0;1.7024583333333334;7.367123787878788
ALCAMPO;0.0;0.0;0.0;0.0;0.0;1.8229047619047618;0.0;1.8742682926829268;0.0;1.837452380952381;0.0;0.0;1.9733611111111111;7.507986546651181
EROSKI;0.0;0.0;0.0;0.0;0.0;1.8782894736842106;0.0;1.9455833333333334;0.0;1.8784210526315788;0.0;0.0;2.0047619047619047;7.707055764411027
CARREFOUR;0.0;0.0;0.0;0.0;0.0;1.92186013986014;0.0;1.96225;0.0;1.9196993006993006;0.0;0.0;2.0605555555555557;7.864364996114997
BEROIL;0.0;0.0;0.0;2.225;0.0;1.8351904761904763;1.4465000000000001;1.859;0.0;1.8837619047619047;0.0;0.0;0.0;9.24945238095238
IBERDOEX;0.0;0.0;0.0;0.0;0.0;1.944875;1.6029375;1.9799166666666668;0.0;1.9489583333333333;0.0;0.0;2.1456666666666666;9.622354166666668
HAM;0.0;0.0;2.2705;2.2147826086956526;0.0;1.949;1.679;0.0;0.0;1.949;0.0;0.0;0.0;10.062282608695652
Q8;0.0;0.0;0.0;0.0;1.009;1.9070105263157895;1.5624285714285713;1.9763333333333335;0.0;1.914063829787234;0.0;0.0;2.0974354838709677;10.466271744735895
BP;0.0;0.0;0.0;0.0;1.0796666666666666;1.914635;1.5611363636363635;2.0113031914893615;0.0;1.919655;0.0;0.0;2.071367469879518;10.557763691671909
TAMOIL;1.7745;0.0;0.0;0.0;0.0;1.8033;1.409;1.8732857142857142;0.0;1.8169666666666666;0.0;0.0;1.9439444444444445;10.620996825396825
MEROIL;1.869;0.0;0.0;0.0;0.958;1.8998249999999999;1.5615454545454546;1.9768148148148148;0.0;1.9163000000000001;0.0;0.0;2.0806923076923076;12.262177577052578
PETROCAT;0.0;0.0;0.0;0.0;1.091;1.9047142857142858;1.464;1.9889999999999999;0.0;1.9204285714285714;1.979;0.0;2.0723333333333334;12.42047619047619
AGLA;1.879;0.0;0.0;0.0;1.009;1.9179215686274511;1.5838400000000001;1.9705416666666666;0.0;1.9420784313725492;0.0;0.0;2.1279375000000003;12.430319166666667
CAMPSA;0.0;0.0;0.0;0.0;1.1056666666666668;1.9169555555555557;1.5524;1.9881029411764706;0.0;1.9116629213483147;1.909;0.0;2.0696000000000003;12.453388084747008
VALCARCE;0.0;0.0;0.0;0.0;0.9790000000000001;1.9326862745098041;1.5880384615384615;1.9986969696969699;0.0;1.9880425531914894;0.0;2.049;2.159;12.694464258936723
PETRONOR;0.0;0.0;1.889;0.0;1.0713076923076923;1.9245371428571427;1.566241379310345;2.0017654320987655;0.0;1.9266321839080458;1.9574285714285715;0.0;2.0790695652173916;14.415981967127955
GALP;0.0;0.0;2.259;0.0;1.0496785714285715;1.9094817813765181;1.5800677966101695;1.9867559241706163;0.0;1.9131792260692464;1.9410454545454547;0.0;2.057042857142857;14.696251611343433
SHELL;2.024;0.0;2.899;2.899;1.00475;1.876263888888889;1.550448275862069;1.9586487341772152;0.0;1.880002777777778;0.0;0.0;2.0297655172413793;18.121879193947333
AVIA;2.009;1.999;2.09;2.09;1.011625;1.9222000000000001;1.5363235294117648;1.9934800000000001;0.0;1.9475677419354838;0.0;0.0;2.0892530120481925;18.688449283395443
CEPSA;0.0;0.0;2.139;2.109;1.0405285714285712;1.9118801526717557;1.5740088757396449;1.9944845961698585;1.9906666666666668;1.908351330203443;1.9834347826086955;0.0;2.043328616352201;18.694683591840835
REPSOL;1.989;0.0;2.1913846153846155;2.1317500000000003;1.080461139896373;1.9176580502215657;1.5627741433021807;1.997424087877599;1.9853333333333334;1.915363467951093;1.9598866995073894;0.0;2.069832715477294;20.800868252951442
